folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio,panta_tipo_desc,panta_tam_desc
36,1,1,2,1,7,1,0,0,0,3,0,0,3,LED,Menor a 30” (muy chica)
36,1,2,3,1,7,3,0,0,0,3,0,0,7,LCD o plasma,Menor a 30” (muy chica)
37,1,1,3,1,7,7,0,0,2,3,0,0,5,LCD o plasma,Menor a 30” (muy chica)
38,1,2,3,1,2,3,0,1,0,0,0,0,5,LCD o plasma,Menor a 30” (muy chica)
38,1,1,2,2,7,3,0,1,2,3,0,0,15,LED,Entre 30” y 39” (Chica)
39,1,1,2,1,7,4,0,1,0,3,0,0,2,LED,Menor a 30” (muy chica)
39,1,2,4,2,7,4,0,1,0,3,0,0,15,Analógica,Entre 30” y 39” (Chica)
40,1,1,4,2,7,6,0,1,0,3,0,0,13,Analógica,Entre 30” y 39” (Chica)
41,1,1,2,3,7,5,0,0,2,3,0,0,2,LED,Entre 40” y 49” (Mediana)
42,1,1,3,2,7,2,0,0,0,3,0,0,1,LCD o plasma,Entre 30” y 39” (Chica)
43,1,1,3,1,7,2,0,0,0,3,0,0,2,LCD o plasma,Menor a 30” (muy chica)
44,1,1,3,4,7,2,0,1,0,0,0,0,4,LCD o plasma,Entre 50” y 60” (Grande)
45,1,1,3,4,7,6,0,0,2,3,0,0,5,LCD o plasma,Entre 50” y 60” (Grande)
47,1,1,4,1,7,5,0,0,2,0,0,0,8,Analógica,Menor a 30” (muy chica)
47,1,2,3,2,7,7,30,0,2,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
48,1,1,3,1,7,2,0,0,0,3,0,0,1,LCD o plasma,Menor a 30” (muy chica)
49,1,1,2,1,7,8,0,1,2,3,0,0,2,LED,Menor a 30” (muy chica)
49,1,2,2,2,7,3,0,0,0,3,0,0,1,LED,Entre 30” y 39” (Chica)
49,1,3,2,1,7,2,30,0,0,3,0,0,3,LED,Menor a 30” (muy chica)
50,1,1,3,1,7,5,0,1,2,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
52,1,2,4,4,7,3,0,1,2,3,0,0,20,Analógica,Entre 50” y 60” (Grande)
52,1,1,2,2,7,4,0,1,2,3,0,0,5,LED,Entre 30” y 39” (Chica)
53,1,1,2,3,7,2,0,0,0,3,0,0,1,LED,Entre 40” y 49” (Mediana)
54,1,1,2,3,7,2,0,0,0,3,0,0,8,LED,Entre 40” y 49” (Mediana)
54,1,2,2,3,7,2,0,0,0,3,0,0,4,LED,Entre 40” y 49” (Mediana)
55,1,1,2,3,7,2,0,0,0,3,0,0,6,LED,Entre 40” y 49” (Mediana)
56,1,1,2,4,7,4,0,1,2,3,0,0,3,LED,Entre 50” y 60” (Grande)
57,1,1,2,3,7,4,0,1,0,3,0,0,5,LED,Entre 40” y 49” (Mediana)
58,1,4,2,3,2,2,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
58,1,3,2,2,7,2,0,0,0,3,0,0,4,LED,Entre 30” y 39” (Chica)
58,1,2,2,3,7,3,0,0,0,3,0,0,3,LED,Entre 40” y 49” (Mediana)
58,1,1,2,4,7,2,0,0,0,3,0,0,3,LED,Entre 50” y 60” (Grande)
59,1,1,2,3,7,1,0,0,0,3,0,0,13,LED,Entre 40” y 49” (Mediana)
59,1,2,2,3,7,2,0,0,0,3,0,0,12,LED,Entre 40” y 49” (Mediana)
60,1,3,2,3,7,2,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
60,1,2,2,3,4,1,0,0,0,3,0,0,3,LED,Entre 40” y 49” (Mediana)
60,1,1,4,4,5,1,0,0,0,3,0,0,6,Analógica,Entre 50” y 60” (Grande)
61,1,1,3,3,7,1,0,0,0,3,0,0,6,LCD o plasma,Entre 40” y 49” (Mediana)
62,1,2,4,2,3,1,0,1,0,0,0,0,18,Analógica,Entre 30” y 39” (Chica)
62,1,1,4,2,7,8,0,0,2,3,0,0,17,Analógica,Entre 30” y 39” (Chica)
63,1,1,2,4,7,3,0,0,0,3,0,0,4,LED,Entre 50” y 60” (Grande)
63,1,2,2,2,2,1,0,0,2,0,0,0,2,LED,Entre 30” y 39” (Chica)
64,1,2,3,2,7,4,0,0,0,3,0,0,6,LCD o plasma,Entre 30” y 39” (Chica)
64,1,3,3,2,5,2,0,0,0,3,0,0,3,LCD o plasma,Entre 30” y 39” (Chica)
64,1,1,3,3,7,3,0,0,0,3,0,0,4,LCD o plasma,Entre 40” y 49” (Mediana)
65,1,1,2,2,7,3,0,0,0,3,0,0,1,LED,Entre 30” y 39” (Chica)
65,1,2,2,2,7,1,0,0,0,3,0,0,3,LED,Entre 30” y 39” (Chica)
66,1,2,2,2,7,7,0,0,2,3,0,0,1,LED,Entre 30” y 39” (Chica)
66,1,3,4,2,1,4,0,0,2,3,0,0,16,Analógica,Entre 30” y 39” (Chica)
66,1,1,2,2,7,8,0,1,2,3,0,0,1,LED,Entre 30” y 39” (Chica)
68,1,2,3,1,7,1,0,0,0,3,0,0,2,LCD o plasma,Menor a 30” (muy chica)
68,1,1,4,2,7,3,0,1,2,3,0,0,15,Analógica,Entre 30” y 39” (Chica)
69,1,2,2,3,7,1,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
69,1,3,2,3,7,1,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
69,1,1,2,3,7,8,0,1,2,3,0,0,2,LED,Entre 40” y 49” (Mediana)
70,1,1,1,4,1,0,30,1,0,0,0,0,1,OLED,Entre 50” y 60” (Grande)
70,1,2,2,5,4,2,0,0,0,3,0,0,1,LED,Mayor a 60” (Extra grande)
70,1,3,1,4,7,2,0,1,0,3,0,0,1,OLED,Entre 50” y 60” (Grande)
70,1,4,1,4,7,2,0,1,0,3,0,0,1,OLED,Entre 50” y 60” (Grande)
70,1,5,1,4,7,2,0,1,0,3,0,0,1,OLED,Entre 50” y 60” (Grande)
71,1,2,3,2,2,1,0,0,0,3,0,0,2,LCD o plasma,Entre 30” y 39” (Chica)
71,1,1,4,3,7,2,0,0,0,3,0,0,30,Analógica,Entre 40” y 49” (Mediana)
72,1,2,2,4,7,8,0,0,2,3,0,0,2,LED,Entre 50” y 60” (Grande)
72,1,1,3,2,7,8,0,1,2,3,0,0,3,LCD o plasma,Entre 30” y 39” (Chica)
73,1,3,3,4,7,3,0,0,0,3,0,0,3,LCD o plasma,Entre 50” y 60” (Grande)
73,1,2,3,4,7,3,0,0,0,3,0,0,4,LCD o plasma,Entre 50” y 60” (Grande)
73,1,1,3,3,7,2,0,0,0,3,0,0,5,LCD o plasma,Entre 40” y 49” (Mediana)
74,1,2,3,3,2,1,0,0,0,3,0,0,1,LCD o plasma,Entre 40” y 49” (Mediana)
74,1,1,3,1,7,3,0,0,0,3,0,0,3,LCD o plasma,Menor a 30” (muy chica)
76,1,2,4,2,7,2,0,0,2,3,0,0,15,Analógica,Entre 30” y 39” (Chica)
76,1,1,4,3,7,2,0,0,0,3,0,0,15,Analógica,Entre 40” y 49” (Mediana)
78,1,1,3,4,7,12,0,0,2,3,4,0,10,LCD o plasma,Entre 50” y 60” (Grande)
79,1,1,2,3,7,6,0,1,0,3,0,0,3,LED,Entre 40” y 49” (Mediana)
80,1,1,2,1,7,12,0,1,2,3,4,0,4,LED,Menor a 30” (muy chica)
81,1,2,3,3,1,1,30,0,0,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
81,1,1,2,3,7,1,0,1,0,3,0,0,3,LED,Entre 40” y 49” (Mediana)
82,1,1,2,3,7,1,0,0,0,3,0,0,2,LED,Entre 40” y 49” (Mediana)
83,1,1,3,3,7,6,0,0,2,3,0,0,3,LCD o plasma,Entre 40” y 49” (Mediana)
