folio,foliohog,id_pobla,edad,nacio_dia,nacio_mes,sexo,parentesco,asiste_esc,tipo_esc,turno_esc,no_asiste,grado_inst,nivel_inst,alfabetism,edo_conyug,nivel_inst_desc,edo_conyug_desc,sexo_desc,parentesco_desc
1,1,1,43,6,2,2,1,1,1,2,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Jefe(a)
2,1,1,37,6,1,2,1,2,0,0,0,5,10,1,4,Licenciatura o profesional,Está viuda(o),Mujer,Jefe(a)
2,1,2,9,21,7,2,3,1,1,1,0,3,2,1,0,Primaria,No aplica,Mujer,Hija(o)
2,1,3,7,24,7,2,3,1,1,1,0,2,2,1,0,Primaria,No aplica,Mujer,Hija(o)
2,1,4,5,22,12,2,3,1,1,1,0,2,1,0,0,Preescolar,No aplica,Mujer,Hija(o)
3,1,1,50,11,7,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
3,1,2,42,13,5,2,2,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
3,1,3,17,20,6,1,3,1,1,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
3,1,4,16,24,11,2,3,1,1,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
4,1,1,68,27,11,2,1,2,0,0,0,3,3,1,4,Secundaria,Está viuda(o),Mujer,Jefe(a)
5,1,1,61,25,8,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
5,1,2,61,17,11,2,2,2,0,0,0,4,9,1,6,Normal de licenciatura,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
6,1,1,74,2,4,1,1,1,1,2,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
6,1,2,47,7,2,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
6,1,3,29,27,9,2,3,2,0,0,9,3,5,1,2,Normal básica,Está separada(o),Mujer,Hija(o)
6,1,4,23,7,3,2,3,2,0,0,9,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
6,1,5,11,14,8,1,3,1,1,1,0,5,2,1,0,Primaria,No aplica,Hombre,Hija(o)
6,1,6,2,21,3,2,4,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Nieta(o)
7,1,1,86,10,9,1,1,2,0,0,0,1,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
7,1,2,80,15,11,2,2,2,0,0,0,1,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
8,1,1,50,27,6,2,1,2,0,0,0,6,2,1,2,Primaria,Está separada(o),Mujer,Jefe(a)
9,1,1,22,7,3,1,1,2,0,0,11,3,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Hombre,Jefe(a)
9,1,2,23,22,9,2,2,2,0,0,11,2,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Mujer,Esposa(o) compañera(o)
9,1,3,6,26,3,2,3,1,1,1,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
9,1,4,2,4,3,2,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
10,1,1,41,22,2,2,1,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Jefe(a)
10,1,2,42,28,1,1,8,2,0,0,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
11,1,1,50,27,10,1,1,2,0,0,0,4,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
11,1,2,43,20,4,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
11,1,3,23,10,7,1,3,2,0,0,8,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
11,1,4,22,12,9,2,3,2,0,0,5,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
11,1,5,17,27,2,1,3,1,1,1,0,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
12,1,1,61,2,8,1,1,2,0,0,0,3,4,1,3,Preparatoria o bachillerato,Está divorciada(o),Hombre,Jefe(a)
12,1,2,28,15,6,1,3,2,0,0,9,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
13,1,1,57,29,6,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
13,1,2,60,29,10,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
13,1,3,36,4,6,2,3,2,0,0,0,3,7,1,5,Estudios técnicos o comerciales con secundaria terminada,Está soltera(o),Mujer,Hija(o)
13,1,4,33,20,6,1,3,2,0,0,0,3,3,1,3,Secundaria,Está divorciada(o),Hombre,Hija(o)
13,1,5,29,7,9,1,3,2,0,0,8,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
13,1,6,24,29,8,2,3,2,0,0,5,0,0,2,5,Ninguno / No aplica,Está soltera(o),Mujer,Hija(o)
14,1,1,47,16,6,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
14,1,2,47,16,2,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
14,1,3,26,26,8,2,3,2,0,0,7,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Hija(o)
14,1,4,30,2,11,1,5,2,0,0,7,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Nuera o yerno
15,1,1,67,6,1,2,1,2,0,0,0,6,2,1,2,Primaria,Está separada(o),Mujer,Jefe(a)
16,1,1,65,27,6,1,1,2,0,0,0,3,7,1,2,Estudios técnicos o comerciales con secundaria terminada,Está separada(o),Hombre,Jefe(a)
17,1,1,71,20,1,1,1,2,0,0,0,3,2,1,5,Primaria,Está soltera(o),Hombre,Jefe(a)
17,1,2,73,7,10,1,8,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Hombre,Otro
17,1,3,53,1,1,1,8,2,0,0,0,6,2,1,5,Primaria,Está soltera(o),Hombre,Otro
18,1,1,40,9,11,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
18,1,2,38,15,4,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
18,1,3,15,17,2,2,3,1,1,2,0,6,2,1,5,Primaria,Está soltera(o),Mujer,Hija(o)
18,1,4,8,8,2,2,3,1,1,1,0,1,2,1,0,Primaria,No aplica,Mujer,Hija(o)
18,1,5,6,14,4,2,3,1,1,1,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
19,1,1,30,22,3,2,1,2,0,0,7,6,2,1,1,Primaria,Vive con su pareja o en unión libre,Mujer,Jefe(a)
19,1,2,28,19,8,1,2,2,0,0,7,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Hombre,Esposa(o) compañera(o)
19,1,3,11,10,8,1,3,1,1,1,0,4,2,1,0,Primaria,No aplica,Hombre,Hija(o)
19,1,4,5,10,6,1,3,1,1,1,0,1,1,0,0,Preescolar,No aplica,Hombre,Hija(o)
20,1,1,55,6,4,2,1,2,0,0,0,3,4,1,3,Preparatoria o bachillerato,Está divorciada(o),Mujer,Jefe(a)
20,1,2,20,24,5,1,3,1,1,2,0,1,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
21,1,1,56,25,7,2,1,2,0,0,0,3,4,1,2,Preparatoria o bachillerato,Está separada(o),Mujer,Jefe(a)
21,1,2,25,11,6,2,3,2,0,0,7,2,4,1,2,Preparatoria o bachillerato,Está separada(o),Mujer,Hija(o)
21,1,3,18,19,2,2,3,1,2,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
21,1,4,3,22,5,1,4,2,0,0,6,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Nieta(o)
22,1,1,88,31,7,2,1,2,0,0,0,3,6,1,5,Estudios técnicos o comerciales con primaria terminada,Está soltera(o),Mujer,Jefe(a)
23,1,1,44,13,7,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
23,1,2,45,10,3,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
23,1,3,15,14,12,2,3,1,2,1,0,1,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
24,1,1,77,23,1,2,1,2,0,0,0,3,6,1,4,Estudios técnicos o comerciales con primaria terminada,Está viuda(o),Mujer,Jefe(a)
25,1,1,44,8,7,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
25,1,2,45,7,8,2,2,2,0,0,0,3,8,1,6,Estudios técnicos o comerciales con preparatoria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
25,1,3,14,8,3,1,3,1,1,1,0,1,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
26,1,1,72,4,12,2,1,2,0,0,0,6,2,1,5,Primaria,Está soltera(o),Mujer,Jefe(a)
26,1,2,69,17,8,1,8,2,0,0,0,2,6,1,5,Estudios técnicos o comerciales con primaria terminada,Está soltera(o),Hombre,Otro
27,1,1,85,13,12,2,1,2,0,0,0,0,0,1,4,Ninguno / No aplica,Está viuda(o),Mujer,Jefe(a)
27,1,2,64,23,12,2,3,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Mujer,Hija(o)
27,1,3,20,4,7,1,4,2,0,0,7,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Nieta(o)
28,1,1,53,10,12,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
28,1,2,53,6,8,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
28,1,3,21,15,11,2,3,2,0,0,8,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
29,1,1,53,9,11,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
29,1,2,37,25,2,2,2,2,0,0,0,2,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
29,1,3,8,16,9,1,3,1,2,1,0,2,2,1,0,Primaria,No aplica,Hombre,Hija(o)
30,1,1,58,17,6,1,1,2,0,0,0,4,10,1,1,Licenciatura o profesional,Vive con su pareja o en unión libre,Hombre,Jefe(a)
30,1,2,47,26,9,2,2,2,0,0,0,3,8,1,1,Estudios técnicos o comerciales con preparatoria terminada,Vive con su pareja o en unión libre,Mujer,Esposa(o) compañera(o)
30,1,3,16,25,11,1,3,1,1,2,0,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
31,1,1,61,25,3,2,1,2,0,0,0,1,6,1,5,Estudios técnicos o comerciales con primaria terminada,Está soltera(o),Mujer,Jefe(a)
32,1,1,69,5,2,2,1,2,0,0,0,3,3,1,4,Secundaria,Está viuda(o),Mujer,Jefe(a)
32,1,2,34,6,10,2,3,2,0,0,0,5,10,1,2,Licenciatura o profesional,Está separada(o),Mujer,Hija(o)
32,1,3,6,14,9,1,4,1,1,1,0,3,1,1,0,Preescolar,No aplica,Hombre,Nieta(o)
33,1,1,49,15,4,1,1,2,0,0,0,3,11,1,5,Maestría,Está soltera(o),Hombre,Jefe(a)
34,1,1,59,12,2,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
34,1,2,56,21,12,2,2,2,0,0,0,3,6,1,6,Estudios técnicos o comerciales con primaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
34,1,3,27,26,8,2,3,2,0,0,9,4,9,1,5,Normal de licenciatura,Está soltera(o),Mujer,Hija(o)
34,1,4,23,10,5,1,3,2,0,0,8,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
34,1,5,20,10,4,2,3,1,1,1,0,2,8,1,5,Estudios técnicos o comerciales con preparatoria terminada,Está soltera(o),Mujer,Hija(o)
35,1,1,72,18,8,2,1,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Mujer,Jefe(a)
35,1,2,47,31,12,2,3,2,0,0,0,5,10,1,3,Licenciatura o profesional,Está divorciada(o),Mujer,Hija(o)
35,1,3,27,14,11,1,4,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Nieta(o)
35,1,4,20,14,3,2,4,1,2,1,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Nieta(o)
36,1,1,62,6,6,1,1,2,0,0,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Jefe(a)
37,1,1,54,28,4,1,1,2,0,0,0,2,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
37,1,2,56,19,7,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
37,1,3,28,30,12,1,3,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
37,1,4,18,16,9,1,3,2,0,0,5,3,1,1,5,Preescolar,Está soltera(o),Hombre,Hija(o)
38,1,1,64,27,2,2,1,2,0,0,0,1,3,1,3,Secundaria,Está divorciada(o),Mujer,Jefe(a)
38,1,2,20,20,11,2,9,2,0,0,7,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Sin parentesco
39,1,1,92,2,4,1,1,2,0,0,0,0,0,1,4,Ninguno / No aplica,Está viuda(o),Hombre,Jefe(a)
39,1,2,57,15,10,2,3,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
39,1,3,34,29,10,1,3,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
40,1,1,52,18,2,2,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Jefe(a)
40,1,2,64,3,10,1,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Esposa(o) compañera(o)
40,1,3,33,24,11,1,3,2,0,0,0,3,4,1,2,Preparatoria o bachillerato,Está separada(o),Hombre,Hija(o)
41,1,1,78,7,2,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
41,1,2,74,31,8,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
41,1,3,31,14,12,1,8,2,0,0,0,0,0,2,5,Ninguno / No aplica,Está soltera(o),Hombre,Otro
42,1,1,74,17,9,2,1,2,0,0,0,3,2,1,4,Primaria,Está viuda(o),Mujer,Jefe(a)
43,1,1,84,28,1,2,1,2,0,0,0,3,2,1,4,Primaria,Está viuda(o),Mujer,Jefe(a)
43,1,2,55,3,4,2,3,2,0,0,0,2,7,1,5,Estudios técnicos o comerciales con secundaria terminada,Está soltera(o),Mujer,Hija(o)
43,1,3,50,5,4,1,3,2,0,0,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
43,1,4,49,3,8,1,3,2,0,0,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
43,1,5,48,24,10,1,3,2,0,0,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
43,1,6,43,20,10,2,3,2,0,0,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
44,1,1,30,9,8,1,1,2,0,0,9,2,12,1,6,Doctorado,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
44,1,2,30,8,10,2,2,2,0,0,9,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
44,1,3,3,21,3,2,3,2,0,0,3,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
45,1,1,32,25,9,2,1,2,0,0,0,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Mujer,Jefe(a)
45,1,2,32,20,5,1,2,2,0,0,0,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Hombre,Esposa(o) compañera(o)
45,1,3,50,16,5,2,6,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Mujer,Madre o padre
45,1,4,13,31,12,2,3,1,1,1,0,6,2,1,5,Primaria,Está soltera(o),Mujer,Hija(o)
45,1,5,10,6,10,1,3,1,1,1,0,4,2,1,0,Primaria,No aplica,Hombre,Hija(o)
45,1,6,7,28,11,2,3,1,1,1,0,1,2,1,0,Primaria,No aplica,Mujer,Hija(o)
45,1,7,5,25,8,2,3,1,1,1,0,2,1,0,0,Preescolar,No aplica,Mujer,Hija(o)
45,1,8,1,31,12,2,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
46,1,1,52,13,7,1,1,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Jefe(a)
47,1,1,84,25,12,2,1,2,0,0,0,3,3,1,4,Secundaria,Está viuda(o),Mujer,Jefe(a)
47,1,2,61,25,5,1,3,2,0,0,0,2,11,1,3,Maestría,Está divorciada(o),Hombre,Hija(o)
48,1,1,26,19,5,2,1,2,0,0,9,4,10,1,2,Licenciatura o profesional,Está separada(o),Mujer,Jefe(a)
49,1,1,82,26,4,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
49,1,2,72,14,5,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
49,1,3,38,27,7,1,3,2,0,0,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
49,1,4,32,30,5,2,3,2,0,0,0,3,3,1,5,Secundaria,Está soltera(o),Mujer,Hija(o)
50,1,1,65,25,8,2,1,2,0,0,0,3,6,1,5,Estudios técnicos o comerciales con primaria terminada,Está soltera(o),Mujer,Jefe(a)
50,1,2,57,25,4,2,8,2,0,0,0,1,4,1,4,Preparatoria o bachillerato,Está viuda(o),Mujer,Otro
50,1,3,51,15,1,2,8,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Otro
50,1,4,23,21,1,1,8,2,0,0,9,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
50,1,5,21,26,12,2,8,1,1,3,0,3,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Otro
51,1,1,56,31,8,1,1,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
51,1,2,45,16,1,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
51,1,3,14,30,1,1,3,1,1,1,0,6,2,1,5,Primaria,Está soltera(o),Hombre,Hija(o)
51,1,4,12,30,4,1,3,1,1,1,0,5,2,1,5,Primaria,Está soltera(o),Hombre,Hija(o)
51,1,5,9,19,9,1,3,1,1,1,0,3,2,1,0,Primaria,No aplica,Hombre,Hija(o)
52,1,1,92,6,12,2,1,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Mujer,Jefe(a)
52,1,2,58,14,6,1,3,2,0,0,0,5,10,1,3,Licenciatura o profesional,Está divorciada(o),Hombre,Hija(o)
53,1,1,70,15,12,2,1,2,0,0,0,3,8,1,4,Estudios técnicos o comerciales con preparatoria terminada,Está viuda(o),Mujer,Jefe(a)
54,1,1,65,28,8,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
54,1,2,66,19,6,2,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
54,1,3,40,23,10,1,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
54,1,4,39,31,10,2,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
55,1,1,36,6,12,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
55,1,2,40,16,5,2,2,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
56,1,1,67,23,12,2,1,2,0,0,0,5,10,1,4,Licenciatura o profesional,Está viuda(o),Mujer,Jefe(a)
56,1,2,30,20,2,2,3,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
57,1,1,66,23,5,2,1,2,0,0,0,2,11,1,4,Maestría,Está viuda(o),Mujer,Jefe(a)
58,1,1,45,6,4,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
58,1,2,43,17,12,2,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
58,1,3,6,10,6,2,3,1,1,1,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
58,1,4,3,10,12,2,3,1,1,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
59,1,1,58,16,5,1,1,2,0,0,0,3,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
59,1,2,49,23,5,2,2,2,0,0,0,3,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
59,1,3,11,19,8,2,3,1,2,1,0,5,2,1,0,Primaria,No aplica,Mujer,Hija(o)
59,1,4,12,6,8,2,3,1,1,2,0,6,2,1,5,Primaria,Está soltera(o),Mujer,Hija(o)
60,1,1,56,26,2,2,1,2,0,0,0,3,8,1,4,Estudios técnicos o comerciales con preparatoria terminada,Está viuda(o),Mujer,Jefe(a)
60,1,2,80,15,11,2,6,2,0,0,0,3,6,1,4,Estudios técnicos o comerciales con primaria terminada,Está viuda(o),Mujer,Madre o padre
60,1,3,23,21,4,1,3,1,1,2,0,1,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
61,1,1,40,2,6,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
61,1,2,37,2,7,2,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
61,1,3,8,1,6,1,3,1,1,3,0,2,2,1,0,Primaria,No aplica,Hombre,Hija(o)
61,1,4,6,4,2,2,3,1,1,1,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
62,1,1,63,11,6,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
62,1,2,62,7,5,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
62,1,3,40,13,2,1,5,2,0,0,0,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Hombre,Nuera o yerno
62,1,4,27,18,9,2,3,2,0,0,7,3,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Mujer,Hija(o)
62,1,5,4,14,4,1,4,1,1,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Nieta(o)
63,1,1,37,19,7,1,1,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
63,1,2,29,14,10,2,2,2,0,0,9,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
63,1,3,3,29,1,1,3,2,0,0,6,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
64,1,1,62,23,5,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
64,1,2,61,10,10,2,2,2,0,0,0,3,6,1,6,Estudios técnicos o comerciales con primaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
64,1,3,29,31,8,1,3,2,0,0,7,3,3,1,3,Secundaria,Está divorciada(o),Hombre,Hija(o)
64,1,4,27,20,11,1,3,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
65,1,1,62,17,5,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
65,1,2,57,5,4,2,2,2,0,0,0,3,6,1,6,Estudios técnicos o comerciales con primaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
65,1,3,30,15,3,2,3,2,0,0,9,4,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
65,1,4,23,21,11,1,3,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
66,1,1,37,6,4,2,1,1,1,2,0,3,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Mujer,Jefe(a)
66,1,2,39,14,5,1,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Esposa(o) compañera(o)
66,1,3,8,1,5,1,3,1,1,1,0,1,2,1,0,Primaria,No aplica,Hombre,Hija(o)
66,1,4,6,31,12,1,3,1,1,1,0,3,1,2,0,Preescolar,No aplica,Hombre,Hija(o)
67,1,1,73,1,8,2,1,2,0,0,0,2,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Jefe(a)
67,1,2,74,16,8,1,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Esposa(o) compañera(o)
68,1,1,35,29,9,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
68,1,2,27,31,1,2,2,2,0,0,7,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
68,1,3,4,18,3,1,3,1,1,1,0,1,1,0,0,Preescolar,No aplica,Hombre,Hija(o)
68,1,4,2,6,2,1,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
69,1,1,39,27,3,1,1,2,0,0,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Jefe(a)
69,1,2,83,4,7,2,6,2,0,0,0,6,2,1,4,Primaria,Está viuda(o),Mujer,Madre o padre
70,1,1,50,8,7,2,1,2,0,0,0,2,4,1,2,Preparatoria o bachillerato,Está separada(o),Mujer,Jefe(a)
70,1,2,28,12,6,2,3,2,0,0,1,4,10,1,1,Licenciatura o profesional,Vive con su pareja o en unión libre,Mujer,Hija(o)
70,1,3,24,15,10,1,3,2,0,0,7,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
