folio,foliohog,id_pobla,edad,nacio_dia,nacio_mes,sexo,parentesco,asiste_esc,tipo_esc,turno_esc,no_asiste,grado_inst,nivel_inst,alfabetism,edo_conyug,nivel_inst_desc,edo_conyug_desc,sexo_desc,parentesco_desc
16588,1,1,64,4,10,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16588,1,2,59,29,11,2,2,2,0,0,0,3,8,1,6,Estudios técnicos o comerciales con preparatoria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16588,1,3,21,4,10,2,3,1,1,3,0,2,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16589,1,1,43,22,8,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16589,1,2,44,21,9,2,2,2,0,0,0,2,12,1,6,Doctorado,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16589,1,3,0,29,8,2,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
16590,1,1,42,28,4,1,1,2,0,0,0,2,11,1,5,Maestría,Está soltera(o),Hombre,Jefe(a)
16590,1,2,30,7,8,1,8,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
16591,1,1,50,1,8,1,1,1,2,2,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16591,1,2,50,26,11,2,2,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16592,1,1,49,24,1,1,1,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16592,1,2,54,17,5,2,2,2,0,0,0,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16592,1,3,23,25,12,2,3,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16592,1,4,21,7,4,1,3,1,2,2,0,3,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
16593,1,1,40,28,11,1,1,2,0,0,0,5,10,1,1,Licenciatura o profesional,Vive con su pareja o en unión libre,Hombre,Jefe(a)
16593,1,2,40,27,2,2,2,2,0,0,0,3,4,1,1,Preparatoria o bachillerato,Vive con su pareja o en unión libre,Mujer,Esposa(o) compañera(o)
16593,1,3,19,9,6,2,9,2,0,0,7,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Sin parentesco
16593,1,4,3,23,1,2,3,1,2,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Mujer,Hija(o)
16594,1,1,48,28,6,1,1,2,0,0,0,3,9,1,6,Normal de licenciatura,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16594,1,2,45,20,6,2,2,2,0,0,0,1,9,1,6,Normal de licenciatura,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16595,1,1,78,17,12,2,1,2,0,0,0,3,6,1,3,Estudios técnicos o comerciales con primaria terminada,Está divorciada(o),Mujer,Jefe(a)
16596,1,1,53,28,1,1,1,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16596,1,2,45,25,1,2,2,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16596,1,3,18,24,12,1,3,1,1,1,0,3,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
16596,1,4,17,25,1,1,3,1,2,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
16597,1,1,35,12,10,1,1,2,0,0,0,5,9,1,6,Normal de licenciatura,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16597,1,2,34,1,5,2,2,2,0,0,0,3,8,1,6,Estudios técnicos o comerciales con preparatoria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16597,1,3,3,1,3,1,3,1,2,1,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
16597,1,4,2,8,1,1,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
16598,1,1,55,4,10,2,1,2,0,0,0,5,10,1,3,Licenciatura o profesional,Está divorciada(o),Mujer,Jefe(a)
16598,1,2,22,9,9,1,8,1,1,3,0,2,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
16598,1,3,82,3,1,2,6,2,0,0,0,3,4,1,4,Preparatoria o bachillerato,Está viuda(o),Mujer,Madre o padre
16598,1,4,28,15,6,1,8,1,2,2,0,5,9,1,5,Normal de licenciatura,Está soltera(o),Hombre,Otro
16599,1,1,49,27,4,1,1,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16599,1,2,43,17,5,2,2,2,0,0,0,2,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16599,1,3,28,14,7,1,8,2,0,0,9,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Otro
16599,1,4,25,9,5,2,8,1,1,1,0,4,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Otro
16599,1,5,19,8,11,2,3,1,1,1,0,2,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16599,1,6,16,14,12,2,3,1,1,1,0,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
16600,1,1,44,11,12,1,1,2,0,0,0,2,10,1,3,Licenciatura o profesional,Está divorciada(o),Hombre,Jefe(a)
16600,1,2,44,28,8,2,2,2,0,0,0,1,10,1,3,Licenciatura o profesional,Está divorciada(o),Mujer,Esposa(o) compañera(o)
16600,1,3,18,17,2,1,3,1,2,1,0,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
16601,1,1,44,1,5,1,1,2,0,0,0,2,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16601,1,2,44,11,11,2,2,2,0,0,0,2,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16601,1,3,18,30,12,2,3,1,1,1,0,2,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
16601,1,4,13,14,9,1,3,1,2,1,0,1,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
16601,1,5,7,7,8,1,3,1,2,1,0,3,1,1,0,Preescolar,No aplica,Hombre,Hija(o)
16602,1,1,58,19,5,2,1,2,0,0,0,2,2,1,2,Primaria,Está separada(o),Mujer,Jefe(a)
16602,1,2,30,5,6,1,3,2,0,0,7,3,3,1,5,Secundaria,Está soltera(o),Hombre,Hija(o)
16603,1,1,82,14,8,1,1,2,0,0,0,2,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16603,1,2,75,15,3,2,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16603,1,3,52,29,3,1,3,2,0,0,0,6,2,1,2,Primaria,Está separada(o),Hombre,Hija(o)
16604,1,1,77,11,8,2,1,2,0,0,0,3,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Mujer,Jefe(a)
16604,1,2,77,15,9,1,2,2,0,0,0,6,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Esposa(o) compañera(o)
16604,1,3,48,19,2,2,3,2,0,0,0,3,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16604,1,4,41,15,12,1,3,2,0,0,0,6,2,1,5,Primaria,Está soltera(o),Hombre,Hija(o)
16605,1,1,36,28,8,1,1,2,0,0,0,6,2,1,1,Primaria,Vive con su pareja o en unión libre,Hombre,Jefe(a)
16605,1,2,34,9,5,2,2,2,0,0,0,3,3,1,1,Secundaria,Vive con su pareja o en unión libre,Mujer,Esposa(o) compañera(o)
16605,1,3,6,21,2,2,3,1,1,2,0,2,1,2,0,Preescolar,No aplica,Mujer,Hija(o)
16606,1,1,50,24,3,1,1,2,0,0,0,2,8,1,3,Estudios técnicos o comerciales con preparatoria terminada,Está divorciada(o),Hombre,Jefe(a)
16607,1,1,54,11,9,2,1,2,0,0,0,2,7,1,4,Estudios técnicos o comerciales con secundaria terminada,Está viuda(o),Mujer,Jefe(a)
16607,1,2,22,1,8,1,3,2,0,0,9,4,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
16608,1,1,68,16,2,1,1,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16608,1,2,67,15,9,2,2,2,0,0,0,3,3,1,6,Secundaria,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16608,1,3,47,28,9,1,3,2,0,0,0,3,4,1,3,Preparatoria o bachillerato,Está divorciada(o),Hombre,Hija(o)
16608,1,4,44,12,2,1,3,2,0,0,0,3,4,1,2,Preparatoria o bachillerato,Está separada(o),Hombre,Hija(o)
16609,1,1,83,14,8,1,1,2,0,0,0,3,4,1,6,Preparatoria o bachillerato,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16609,1,2,75,18,8,2,2,2,0,0,0,3,6,1,6,Estudios técnicos o comerciales con primaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16609,1,3,54,12,11,1,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
16610,1,1,30,27,3,1,1,2,0,0,9,3,7,1,6,Estudios técnicos o comerciales con secundaria terminada,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16610,1,2,28,30,12,2,2,2,0,0,9,5,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16610,1,3,2,17,12,1,3,0,0,0,0,0,0,0,0,Ninguno / No aplica,No aplica,Hombre,Hija(o)
16611,1,1,70,14,1,1,1,2,0,0,0,6,2,1,2,Primaria,Está separada(o),Hombre,Jefe(a)
16612,1,1,60,27,3,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16612,1,2,59,22,5,2,2,2,0,0,0,3,7,1,6,Estudios técnicos o comerciales con secundaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16613,1,1,62,30,12,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16613,1,2,57,15,12,2,2,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16613,1,3,33,30,5,2,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16614,1,1,60,8,4,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16614,1,2,52,13,9,2,2,2,0,0,0,3,8,1,6,Estudios técnicos o comerciales con preparatoria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16614,1,3,17,25,11,2,3,1,1,1,0,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Mujer,Hija(o)
16615,1,1,51,3,5,1,1,2,0,0,0,2,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16615,1,2,54,20,3,2,2,2,0,0,0,2,7,1,6,Estudios técnicos o comerciales con secundaria terminada,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16615,1,3,20,28,9,2,3,1,1,2,0,3,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16615,1,4,16,6,8,1,3,1,2,1,0,1,4,1,5,Preparatoria o bachillerato,Está soltera(o),Hombre,Hija(o)
16616,1,1,64,15,10,1,1,2,0,0,0,1,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16616,1,2,64,2,5,2,2,2,0,0,0,1,11,1,6,Maestría,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16616,1,3,32,17,7,1,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Hombre,Hija(o)
16616,1,4,41,10,1,2,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16616,1,5,31,17,7,2,3,2,0,0,0,5,10,1,5,Licenciatura o profesional,Está soltera(o),Mujer,Hija(o)
16617,1,1,85,7,11,1,1,2,0,0,0,2,2,1,6,Primaria,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16617,1,2,84,15,4,2,2,2,0,0,0,3,5,1,6,Normal básica,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16618,1,1,39,17,8,1,1,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Hombre,Jefe(a)
16618,1,2,38,22,9,2,2,2,0,0,0,4,10,1,6,Licenciatura o profesional,Está casada(o) civil y/o religiosamente,Mujer,Esposa(o) compañera(o)
16618,1,3,9,26,6,1,3,1,1,1,0,3,2,1,0,Primaria,No aplica,Hombre,Hija(o)
