folio,foliohog,id_cagua,cagua_tipo,cagua_capa,cagua_adqu,cagua_anio,cagua_mant,cagua_tipo_desc,cagua_adqu_desc,cagua_mant_desc,cagua_capa_desc
78,1,1,1,3,2,20,3,De gas con deposito,Usado,Cada 2 años,De 70 a 80 litros (hasta 4 personas)
79,1,1,2,0,2,12,2,De gas de rápida recuperación,Usado,Cada año,
80,1,1,1,3,2,4,1,De gas con deposito,Usado,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
80,1,2,7,3,2,5,2,Solar,Usado,Cada año,De 70 a 80 litros (hasta 4 personas)
81,1,1,1,1,2,10,2,De gas con deposito,Usado,Cada año,De 38 a 40 litros (hasta 2 personas)
82,1,1,1,3,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
83,1,1,1,2,2,99,4,De gas con deposito,Usado,No le da mantenimiento,De 50 a 60 litros (hasta 3 personas)
84,1,1,7,3,1,1,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
86,1,1,7,9,2,99,4,Solar,Usado,No le da mantenimiento,No sabe
89,1,1,1,9,2,99,4,De gas con deposito,Usado,No le da mantenimiento,No sabe
90,1,1,1,3,1,5,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
91,1,1,7,3,1,6,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
92,1,1,1,3,1,15,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
93,1,1,7,4,1,5,4,Solar,Nuevo,No le da mantenimiento,De 90 a 110 litros (hasta 6 personas)
94,1,1,7,3,1,3,1,Solar,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
95,1,1,1,3,1,20,1,De gas con deposito,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
96,1,1,1,5,1,2,4,De gas con deposito,Nuevo,No le da mantenimiento,De 120 a 140 litros (hasta 7 personas)
97,1,1,1,4,1,2,1,De gas con deposito,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
98,1,1,1,3,2,10,4,De gas con deposito,Usado,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
99,1,1,7,4,1,3,1,Solar,Nuevo,Cada 6 meses,De 90 a 110 litros (hasta 6 personas)
100,1,1,7,6,1,5,1,Solar,Nuevo,Cada 6 meses,Más de 140 litros (más de 7 personas)
101,1,1,1,9,1,14,1,De gas con deposito,Nuevo,Cada 6 meses,No sabe
102,1,1,7,3,1,6,1,Solar,Nuevo,Cada 6 meses,De 70 a 80 litros (hasta 4 personas)
104,1,2,7,2,1,6,2,Solar,Nuevo,Cada año,De 50 a 60 litros (hasta 3 personas)
104,1,1,1,1,1,12,1,De gas con deposito,Nuevo,Cada 6 meses,De 38 a 40 litros (hasta 2 personas)
105,1,1,7,2,1,10,2,Solar,Nuevo,Cada año,De 50 a 60 litros (hasta 3 personas)
106,1,1,7,3,1,99,4,Solar,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
108,1,1,1,3,1,12,4,De gas con deposito,Nuevo,No le da mantenimiento,De 70 a 80 litros (hasta 4 personas)
