folio,foliohog,id_panta,panta_tipo,panta_tam,panta_dia,panta_hor,panta_min,panta_uso1,panta_uso2,panta_uso3,panta_uso4,panta_uso9,panta_anio
70,1,2,2,5,4,02,00, , ,3, , ,01
70,1,3,1,4,7,02,00,1, ,3, , ,01
70,1,4,1,4,7,02,00,1, ,3, , ,01
70,1,5,1,4,7,02,00,1, ,3, , ,01
71,1,2,3,2,2,01,00, , ,3, , ,02
71,1,1,4,3,7,02,00, , ,3, , ,30
72,1,2,2,4,7,08,00, ,2,3, , ,02
72,1,1,3,2,7,08,00,1,2,3, , ,03
73,1,3,3,4,7,03,00, , ,3, , ,03
73,1,2,3,4,7,03,00, , ,3, , ,04
73,1,1,3,3,7,02,00, , ,3, , ,05
74,1,2,3,3,2,01,00, , ,3, , ,01
74,1,1,3,1,7,03,00, , ,3, , ,03
76,1,2,4,2,7,02,00, ,2,3, , ,15
76,1,1,4,3,7,02,00, , ,3, , ,15
78,1,1,3,4,7,12,00, ,2,3,4, ,10
79,1,1,2,3,7,06,00,1, ,3, , ,03
80,1,1,2,1,7,12,00,1,2,3,4, ,04
81,1,2,3,3,1,01,30, , ,3, , ,03
81,1,1,2,3,7,01,00,1, ,3, , ,03
82,1,1,2,3,7,01,00, , ,3, , ,02
83,1,1,3,3,7,06,00, ,2,3, , ,03
84,1,1,3,2,3,02,00, , ,3, , ,08
85,1,1,3,1,7,05,00, , ,3, , ,04
86,1,1,4,1,7,01,30, , , ,4, ,05
87,1,1,4,4,7,02,00, , , ,4, ,99
88,1,1,4,2,7,02,00, , ,3, , ,05
89,1,1,3,2,7,04,00, , ,3, , ,03
89,1,2,3,2,3,01,00, , ,3, , ,05
90,1,1,3,3,7,02,00, , ,3, , ,02
91,1,1,3,3,7,03,00, ,2,3, , ,06
91,1,2,3,4,4,02,00, , ,3, , ,03
92,1,2,4,1,7,02,00, , ,3, , ,15
92,1,1,3,3,7,04,00,1, ,3, , ,04
93,1,1,3,4,7,02,00, , ,3, , ,02
94,1,1,3,2,7,05,00,1,2,3, , ,01
95,1,2,3,4,1,02,00, , ,3, , ,03
95,1,1,4,4,6,02,00, , ,3, , ,10
96,1,4,3,4,7,01,00, , ,3, , ,01
96,1,3,4,4,7,06,00,1,2,3, , ,07
96,1,2,3,4,4,04,00, , ,3, , ,02
96,1,5,3,4,7,01,00, , ,3, , ,01
96,1,1,4,2,7,01,00, ,2, , , ,05
97,1,1,1,4,7,04,00, ,2,3, , ,02
97,1,2,1,5,7,03,00, , ,3, , ,01
98,1,1,2,4,7,05,00,1, ,3, , ,01
99,1,1,1,3,7,01,30, , ,3, , ,02
99,1,2,2,4,2,01,00, , ,3, , ,05
100,1,1,3,3,7,14,00, ,2,3, , ,03
101,1,1,4,3,3,04,00, , ,3, , ,23
101,1,2,3,2,7,03,00, , ,3, , ,02
102,1,1,2,4,7,03,00,1, ,3, , ,02
103,1,1,3,2,7,07,00,1,2,3, , ,04
104,1,1,3,1,2,05,00, , ,3, , ,03
105,1,1,3,3,7,04,00,1,2,3, , ,06
